,Avg Sentance Length,Average Word Length,Nouns,Adjectives,Coordinating Conjunction,Cardinal Number,Determiner,Preposition or Subordinating Conjunction,Adjective,"Adjective, Comparative","Adjective, Superlative",Modal,"Noun, singular or mass","Noun, Plural",Possessive Pronoun Phrase,Adverb,"Adverb, Comparative","Verb, Base Form","Verb, Past Tense","Verb, Gerund or Present Participle","Verb, Past Participle","Verb, non-3rd Person Singular Present",Verb 3rd Person Singular Present,Wh-determiner,Possessive Wh-pronoun
Modal,0.43339314294983444,0.2505580181296391,-0.5244124265839172,0.04767607526755513,0.091884999851052,-0.39102585243759463,-0.26125142240704596,-0.3637059457078006,-0.027434103890547786,0.25337780123553044,0.5747786905190226,1.0,-0.5145998869934983,-0.3760258322721131,0.2953356356972243,0.23379476403748436,0.6527237683200635,0.5512261180472977,-0.07014900302842299,-0.15075044169249555,0.2840394824438896,0.36997814751436436,0.03592703334895539,0.3046167609831983,0.15483156987340985
"Noun, singular or mass",-0.3939213501249008,-0.6213112030610253,0.9934311021088592,0.10612063350485751,0.12081720209732959,0.02567393642421434,-0.05911610719465887,0.19875407187661817,0.16637449050859748,-0.19390124984353962,-0.42091578935513074,-0.5145998869934983,1.0,0.5426632921267664,-0.5406448165840536,-0.5965185378065139,-0.5207824498515691,-0.26457836064121515,-0.5146897209864026,-0.05649823812315122,-0.6056196455390157,0.07019329794721324,0.3025473668404054,-0.5431236787094997,-0.40624206141932456
"Noun, Plural",-0.1494949402733643,-0.5501703630994794,0.6352155996345168,0.363235534598793,-0.07176257358306928,0.1750359032962836,0.003832582593586929,0.3266763430164711,0.4236982749131238,-0.09657999752982784,-0.37775998306377745,-0.3760258322721131,0.5426632921267664,1.0,-0.46658058011275744,-0.48638556255145265,-0.5969159777407534,-0.2555702164706875,-0.44630285029450717,0.23089929681867982,-0.36355781587823655,0.26640283126543657,0.3503801710571699,-0.1279984937515598,-0.38220037652280325
Possessive Pronoun Phrase,0.17333414494581142,0.1331050182172494,-0.560687234264282,-0.6215303451737366,-0.26654913568885497,0.06854659812312118,-0.3199687444151647,-0.15225068885915066,-0.6430475179575241,-0.2426641752341908,0.07558160762333202,0.2953356356972243,-0.5406448165840536,-0.46658058011275744,1.0,0.23332954323190383,0.19807158786493984,0.3968042768761211,0.5352345832050257,0.10080445902826557,0.08569474101231483,-0.3875143889128029,-0.522884353327553,-0.0033353127169264067,0.5582775454647487
Adverb,0.11420033349264685,0.6089720501489989,-0.6147514710584981,0.0998973177368346,-0.27308346785263427,-0.0026347499578213635,0.05145900923730417,-0.35214933927102565,0.07102230413049103,0.07353825469447031,0.2520839434946765,0.23379476403748436,-0.5965185378065139,-0.48638556255145265,0.23332954323190383,1.0,0.30296962840886765,0.252588914379615,0.20389540735838121,-0.016729377454761444,0.44859367806035466,-0.09223099428971891,-0.19393929351980793,0.13961126336222734,0.2032639933357782
"Adverb, Comparative",0.3754176982869562,0.4377263449585035,-0.5601872165732785,0.03978214343577223,0.27893354804358417,-0.1953814378581034,0.06031577559425538,-0.33182197815376735,-0.060206997602685455,0.3957312667629028,0.7406659910695264,0.6527237683200635,-0.5207824498515691,-0.5969159777407534,0.19807158786493984,0.30296962840886765,1.0,0.1747087720823021,0.0404494597079336,-0.13874137219044258,0.24833081763346693,0.004938079606019335,-0.0497962234908136,0.40165955690401717,0.15383505664419014
"Verb, Base Form",-0.14098396142762817,-0.0010150326400907193,-0.2781174848126592,-0.17456368437031297,-0.1423944723607709,-0.13836754095354586,-0.38763322897927366,-0.31185753687522594,-0.17407678531937268,-0.364003963063346,0.057592726293419785,0.5512261180472977,-0.26457836064121515,-0.2555702164706875,0.3968042768761211,0.252588914379615,0.1747087720823021,1.0,-0.014119238777238323,-0.16608892451776977,0.023718762808229012,0.2653987647023714,0.1048192520552163,-0.015695721460684525,0.42795761451726316
"Verb, Past Tense",0.05148599721817413,0.12990983006703893,-0.5340520957589785,-0.5664661877432909,-0.3494179104758684,0.17284325460037342,-0.12765722496848975,0.09922143890199325,-0.5700040653508895,0.023333735566001577,-0.14527200186219327,-0.07014900302842299,-0.5146897209864026,-0.44630285029450717,0.5352345832050257,0.20389540735838121,0.0404494597079336,-0.014119238777238323,1.0,0.12173555042711205,0.41940592699586543,-0.6606418215170401,-0.7318245719619346,0.026457506614316516,0.35280792421787033
"Verb, Gerund or Present Participle",0.07840401394142027,-0.1758351269743923,-0.02049492932137992,-0.25644861079203846,-0.11463134159861,0.049476672210774564,-0.24872985104988704,-0.009867052540974152,-0.24857272502858657,-0.014730623268754161,-0.13819416363696616,-0.15075044169249555,-0.05649823812315122,0.23089929681867982,0.10080445902826557,-0.016729377454761444,-0.13874137219044258,-0.16608892451776977,0.12173555042711205,1.0,-0.29890803115333037,-0.30816756815019186,-0.25895110128470783,-0.10015019677964068,0.017714214128683698
"Verb, Past Participle",0.30151234092780665,0.5034622391435316,-0.606385167186625,0.11572589804183318,-0.2608454543328901,-0.0511686911729185,0.15748410724075462,-0.031440386623554924,0.08148028434901847,0.29535782472348204,0.2335354061770581,0.2840394824438896,-0.6056196455390157,-0.36355781587823655,0.08569474101231483,0.44859367806035466,0.24833081763346693,0.023718762808229012,0.41940592699586543,-0.29890803115333037,1.0,0.00018549112148662236,-0.3315415221639377,0.39631319268751336,0.07047985723099048
"Verb, non-3rd Person Singular Present",0.10833514521086081,-0.011225685309827312,0.10081773891827714,0.5371229224864557,0.2153159989795384,-0.23206822236240848,0.13495219813954826,-0.10904690068987406,0.5272069515301846,0.10034284953286972,0.2121662302440131,0.36997814751436436,0.07019329794721324,0.26640283126543657,-0.3875143889128029,-0.09223099428971891,0.004938079606019335,0.2653987647023714,-0.6606418215170401,-0.30816756815019186,0.00018549112148662236,1.0,0.7423372097386773,0.33418403872294894,-0.12937268289078763
Verb 3rd Person Singular Present,-0.24142104819043703,-0.08719102507931849,0.3259192460312794,0.560286255515782,0.3576090815015724,0.03857199702275824,0.2623666750641255,-0.0693943624635847,0.5646327514026166,-0.0605211166792195,0.14780687730529635,0.03592703334895539,0.3025473668404054,0.3503801710571699,-0.522884353327553,-0.19393929351980793,-0.0497962234908136,0.1048192520552163,-0.7318245719619346,-0.25895110128470783,-0.3315415221639377,0.7423372097386773,1.0,0.11866050562465172,-0.23839913345713865
